id,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR,private_record,private_owner
131186,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131187,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131188,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131189,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131190,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131191,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131192,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131193,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131194,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131195,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131196,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131197,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131198,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131199,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131200,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131201,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131202,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131203,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131204,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131205,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131206,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131207,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131208,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131209,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131210,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131211,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131212,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131213,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131214,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131215,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131216,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131217,2013,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131218,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131219,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131220,2013,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131221,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131222,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131223,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131224,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131225,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131226,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131227,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131228,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131229,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131230,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131231,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131232,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131233,2014,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131234,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131235,2014,,S,S,S,true,"Anastasia Unitt, University of Oxford"
131236,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131237,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131238,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131239,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131240,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131241,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131242,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131243,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131244,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131245,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131246,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131247,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131248,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131249,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131250,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131251,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131252,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131253,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131254,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131255,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131256,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131257,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131258,2014,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131259,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131260,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131261,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131262,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131263,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131264,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131265,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131266,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131267,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131268,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131269,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131270,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131271,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131272,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131273,2014,,S,S,R,true,"Anastasia Unitt, University of Oxford"
131274,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131275,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131276,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131277,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131278,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131279,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131280,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131281,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131282,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131283,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131284,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131285,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131286,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131287,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131288,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131289,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131290,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131291,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131292,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131293,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131294,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131295,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131296,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131297,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131298,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131299,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131300,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131301,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131302,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131303,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131304,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131305,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131306,2015,=,S,S,R,true,"Anastasia Unitt, University of Oxford"
131307,2015,=,S,S,S,true,"Anastasia Unitt, University of Oxford"
131308,2015,,S,S,,true,"Anastasia Unitt, University of Oxford"
131309,2015,,S,S,,true,"Anastasia Unitt, University of Oxford"
