id,isolate,country,azithromycin_mic,cefixime_mic,ceftriaxone_mic,private_record,private_owner
140578,20MUS_AH028_S108,South Africa,0.064,0.016,0.002,true,"Odile Harrison, University of Oxford, UK"
140581,20MUS_AH0138_S110,South Africa,0.064,0.016,0.003,true,"Odile Harrison, University of Oxford, UK"
140592,21MUS_AH166_S117,South Africa,0.064,0.016,0.004,true,"Odile Harrison, University of Oxford, UK"
154292,LLL032,South Africa,0.125,0.015,0.008,false,
154294,LLL035,South Africa,0.125,0.015,0.008,false,
155436,17MUS-AH019,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155438,17MUS-AH024,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155448,17MUS-AH047,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155449,17MUS-AH051,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155458,17MUS-AH066,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155481,17MUS-AH123,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155492,MP12-MUS-041,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155508,MP12-MUS-066,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155509,MP12-MUS-069,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155517,KN13-MUS-075,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155521,KN13-MUS-088,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155522,KN13-MUS-090,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155530,KN13-MUS-137,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155535,KN13-MUS-180,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155538,KN13-MUS-202,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155542,15MUS-GQ007,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155579,20MUS-AH005,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155580,20MUS-AH007,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155581,20MUS-AH008,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155583,20MUS-AH011,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155612,20MUS-AH080,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155616,20MUS-AH085-1,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155617,20MUS-AH085-2,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155628,20MUS-AH112,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155629,20MUS-AH114,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155635,20MUS-AH127,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155638,20MUS-AH138,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155649,21MUS-AH010,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155660,21MUS-AH031,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155661,21MUS-AH036,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155668,21MUS-AH056,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155678,21MUS-AH084,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155680,21MUS-AH091,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155681,21MUS-AH093,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155684,21MUS-AH100,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155688,21MUS-AH109,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155693,21MUS-AH119,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155699,21MUS-AH131,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155710,21MUS-AH148,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155720,21MUS-AH166,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155749,15MUS-PI001,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155750,15MUS-PI002,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155751,15MUS-PI003,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155761,15MUS-PI026,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155779,15MUS-PI082,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155783,15MUS-PI093,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155789,15MUS-PI103,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155793,15MUS-PI110,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
155802,18MUS-KM024,South Africa,,,,true,"Odile Harrison, University of Oxford, UK"
156444,ES20-099,Spain,,,,false,
158693,AUSMDU00014910,Australia,,,,false,
161439,24GB004784,Norway,,,,false,
