id,isolate,region,year,NEIS0408(pilQ),NEIS0414,NEIS1753(PenA),NEIS2020(porB),NEIS2357
131103,GP-12-MUS-093,Gauteng Province,2012,2759,8,294,763,0
131104,GP-12-MUS-096,Gauteng Province,2012,621,13,23,1279,2
131105,GP-12-MUS-099,Gauteng Province,2012,619,8,294,,3
131106,GP-12-MUS-102,Gauteng Province,2012,621,8,23,6296,3
131107,GP-12-MUS-107,Gauteng Province,2012,19,8,294,,0
131108,GP-12-MUS-109,Gauteng Province,2012,618,8,166,,0
131109,GP-12-MUS-110,Gauteng Province,2012,251,13,228,,3
131110,GP-12-MUS-115,Gauteng Province,2012,,13,23,,2
131111,GP-12-MUS-116,Gauteng Province,2012,,8,20,,0
131112,GP-12-MUS-117,Gauteng Province,2012,667,13,228,,3
131113,GP-12-MUS-124,Gauteng Province,2012,251,13,228,,3
131114,GP-12-MUS-137,Gauteng Province,2012,2759,8,294,,0
131115,GP-12-MUS-163,Gauteng Province,2012,251,13,228,6298,3
131116,GP-12-MUS-166,Gauteng Province,2012,1399,8,166,1601,2
131117,GP-12-MUS-170,Gauteng Province,2012,667,13,228,,0
131118,GP-12-MUS-180,Gauteng Province,2012,2759,8,294,,0
131119,GP-12-MUS-190,Gauteng Province,2012,251,13,285,878,0
131120,GP-12-MUS-199,Gauteng Province,2012,621,13,23,,0
131121,GP-12-MUS-205,Gauteng Province,2012,251,13,228,,3
131122,GP-12-MUS-208,Gauteng Province,2012,251,13,228,763,3
131123,GP-12-MUS-211,Gauteng Province,2012,184,13,20,,0
131124,GP-12-MUS-214,Gauteng Province,2012,621,13,23,4329,0
131125,GP-12-MUS-220,Gauteng Province,2012,251,13,285,878,0
131126,GP-12-MUS-242,Gauteng Province,2012,,,,763,3
131127,GP-12-MUS-250,Gauteng Province,2012,2759,8,294,763,3
131128,GP-12-MUS-251,Gauteng Province,2012,2759,13,228,6298,3
131129,GP-12-MUS-252,Gauteng Province,2012,22,8,166,,0
131130,GP-12-MUS-264,Gauteng Province,2012,333,13,285,,3
131131,GP-12-MUS-273,Gauteng Province,2012,251,13,228,,0
131132,GP-12-MUS-276,Gauteng Province,2012,251,13,228,,3
131133,GP-12-MUS-283,Gauteng Province,2012,333,13,23,826,3
131134,GP-12-MUS-289,Gauteng Province,2012,251,13,228,,3
131135,GP-12-MUS-291,Gauteng Province,2012,1399,8,166,,0
131136,GP-12-MUS-297,Gauteng Province,2012,251,8,228,,3
131137,GP-12-MUS-303,Gauteng Province,2012,251,8,228,9300,0
131138,GP-12-MUS-307,Gauteng Province,2012,251,13,228,6298,0
131139,GP-12-MUS-311,Gauteng Province,2012,184,13,166,,0
131140,GP-12-MUS-312,Gauteng Province,2012,251,13,228,,3
131141,GP-12-MUS-317,Gauteng Province,2012,,13,285,6279,
131142,GP-12-MUS-319,Gauteng Province,2012,621,13,23,4329,2
131143,GP-12-MUS-324,Gauteng Province,2012,1399,8,166,,0
