id,country,year,private_record,private_owner
89195,South Africa,2015,false,
89196,South Africa,2017,false,
89197,South Africa,2015,false,
89198,South Africa,2015,false,
89199,South Africa,2017,false,
89200,South Africa,2017,false,
92898,South Africa,2019,false,
92899,South Africa,2019,false,
92900,South Africa,2019,false,
92901,South Africa,2018,false,
92902,South Africa,2019,false,
92903,South Africa,2019,false,
93214,South Africa,2019,false,
95771,Ghana,2014,false,
95772,Ghana,2014,false,
95773,Ghana,2014,false,
95774,Ghana,2014,false,
95775,Ghana,2014,false,
95776,Ghana,2014,false,
95777,Ghana,2015,false,
95778,Ghana,2015,false,
95779,Ghana,2015,false,
95780,Ghana,2013,false,
95781,Ghana,2013,false,
95782,Ghana,2013,false,
95783,Ghana,2014,false,
95784,Ghana,2014,false,
95785,Ghana,2015,false,
95786,Ghana,2015,false,
95787,Ghana,2019,false,
95788,Ghana,2019,false,
95789,Ghana,2014,false,
95790,Ghana,2012,false,
95791,Ghana,2012,false,
95792,Ghana,2012,false,
95793,Ghana,2012,false,
95794,Ghana,2012,false,
95795,Ghana,2012,false,
95796,Ghana,2015,false,
95797,Ghana,2015,false,
95798,Ghana,2015,false,
95799,Ghana,2015,false,
95800,Ghana,2015,false,
95801,Ghana,2015,false,
95802,Ghana,2018,false,
95803,Ghana,2018,false,
95804,Ghana,2019,false,
95805,Ghana,2019,false,
95806,Ghana,2019,false,
95807,Ghana,2019,false,
95808,Ghana,2019,false,
95809,Ghana,2019,false,
95810,Ghana,2019,false,
95811,Ghana,2019,false,
95812,Ghana,2019,false,
95813,Ghana,2018,false,
95814,Ghana,2019,false,
95815,Ghana,2019,false,
95816,Ghana,2019,false,
95817,Ghana,2018,false,
95818,Ghana,2018,false,
95819,Ghana,2018,false,
95820,Ghana,2018,false,
95821,Ghana,2018,false,
96169,South Africa,2013,false,
96170,South Africa,2013,false,
96171,South Africa,2014,false,
96172,South Africa,2014,false,
96173,South Africa,2014,false,
96174,South Africa,2014,false,
97776,Malawi,2018,false,
97777,Malawi,2018,false,
97778,Malawi,2018,false,
97779,Malawi,2018,false,
97780,Malawi,2018,false,
97781,Malawi,2018,false,
97782,Malawi,2018,false,
97783,Malawi,2018,false,
97784,Malawi,2018,false,
105972,Kenya,2012,false,
105973,Kenya,2012,false,
105974,Kenya,2012,false,
105975,Kenya,2012,false,
105976,Kenya,2012,false,
105977,Kenya,2012,false,
105978,Kenya,2012,false,
105979,Kenya,2012,false,
105980,Kenya,2012,false,
105981,Kenya,2012,false,
106122,Kenya,2017,false,
106123,Kenya,2016,false,
106124,Kenya,2016,false,
106125,Kenya,2017,false,
106126,Kenya,2018,false,
106127,Kenya,2016,false,
106128,Kenya,2017,false,
106129,Kenya,2017,false,
106130,Kenya,2016,false,
106131,Kenya,2016,false,
106132,Kenya,2016,false,
106133,Kenya,2018,false,
106134,Kenya,2016,false,
106135,Kenya,2017,false,
106136,Kenya,2016,false,
106137,Kenya,2016,false,
106138,Kenya,2016,false,
106139,Kenya,2018,false,
106140,Kenya,2017,false,
106141,Kenya,2016,false,
106142,Kenya,2016,false,
106143,Kenya,2017,false,
106144,Kenya,2017,false,
106145,Kenya,2016,false,
106146,Kenya,2016,false,
106147,Kenya,2016,false,
106148,Kenya,2018,false,
106149,Kenya,2018,false,
106150,Kenya,2018,false,
106151,Kenya,2017,false,
106152,Kenya,2016,false,
106153,Kenya,2019,false,
106154,Kenya,2016,false,
106155,Kenya,2017,false,
106156,Kenya,2017,false,
106157,Kenya,2017,false,
106158,Kenya,2017,false,
106159,Kenya,2018,false,
106160,Kenya,2017,false,
106161,Kenya,2017,false,
106162,Kenya,2019,false,
106163,Kenya,2019,false,
106164,Kenya,2020,false,
106165,Kenya,2020,false,
106166,Kenya,2019,false,
106167,Kenya,2020,false,
109097,South Africa,2018,false,
109098,South Africa,2018,false,
109099,South Africa,2018,false,
109100,South Africa,2018,false,
109101,South Africa,2018,false,
109102,South Africa,2018,false,
109103,South Africa,2018,false,
109104,South Africa,2018,false,
109105,South Africa,2018,false,
109106,South Africa,2018,false,
109107,South Africa,2018,false,
109108,South Africa,2018,false,
109109,South Africa,2018,false,
109110,South Africa,2018,false,
109111,South Africa,2019,false,
109112,South Africa,2019,false,
109113,South Africa,2019,false,
109114,South Africa,2019,false,
109115,South Africa,2019,false,
109116,South Africa,2019,false,
109117,South Africa,2019,false,
109118,South Africa,2019,false,
109119,South Africa,2019,false,
109120,South Africa,2018,false,
109121,South Africa,2018,false,
111732,Ghana,2018,false,
111733,Ghana,2019,false,
111734,Ghana,2019,false,
111735,Ghana,2019,false,
111736,Ghana,2019,false,
115183,South Africa,2019,false,
115184,South Africa,2021,false,
115185,South Africa,2021,false,
116222,Uganda,2018,false,
116223,Uganda,2018,false,
116224,Uganda,2018,false,
116225,Uganda,2018,false,
116226,Uganda,2018,false,
116227,Uganda,2018,false,
116228,Uganda,2018,false,
116229,Uganda,2018,false,
116230,Uganda,2018,false,
116231,Uganda,2018,false,
116232,Uganda,2018,false,
116233,Uganda,2018,false,
116234,Uganda,2018,false,
116235,Uganda,2018,false,
116236,Uganda,2018,false,
116237,Uganda,2018,false,
116238,Uganda,2018,false,
116239,Uganda,2018,false,
116240,Uganda,2018,false,
116241,Uganda,2018,false,
116242,Uganda,2018,false,
116243,Uganda,2018,false,
116244,Uganda,2018,false,
116245,Uganda,2018,false,
116246,Uganda,2018,false,
116247,Uganda,2018,false,
116248,Uganda,2018,false,
116249,Uganda,2018,false,
116250,Uganda,2018,false,
116251,Uganda,2018,false,
116252,Uganda,2018,false,
116253,Uganda,2018,false,
117540,Cameroon,2019,false,
117541,Cameroon,2019,false,
117542,Cameroon,2019,false,
117543,Cameroon,2020,false,
117544,Cameroon,2020,false,
117545,Cameroon,2020,false,
117546,Cameroon,2020,false,
117547,Cameroon,2020,false,
118224,Cameroon,2020,false,
118225,Cameroon,2020,false,
123150,Zambia,2020,false,
123151,Zambia,2020,false,
123152,Zambia,2020,false,
123332,South Africa,2022,false,
123333,South Africa,2022,false,
123334,South Africa,2022,false,
123335,South Africa,2022,false,
123336,South Africa,2022,false,
123337,South Africa,2022,false,
123338,South Africa,2022,false,
123339,South Africa,2022,false,
123340,South Africa,2022,false,
123341,South Africa,2022,false,
123342,South Africa,2022,false,
123343,South Africa,2022,false,
123344,South Africa,2022,false,
123345,South Africa,2022,false,
123346,South Africa,2022,false,
123347,South Africa,2022,false,
125903,Madagascar,2020,false,
125904,Madagascar,2015,false,
125905,Madagascar,2019,false,
125906,Madagascar,2020,false,
125907,Madagascar,2020,false,
125908,Madagascar,2020,false,
125909,Madagascar,2016,false,
125910,Madagascar,2020,false,
125911,Madagascar,2020,false,
125912,Madagascar,2014,false,
125913,Madagascar,2020,false,
125914,Madagascar,2020,false,
125915,Madagascar,2014,false,
125916,Madagascar,2020,false,
125917,Madagascar,2014,false,
125918,Madagascar,2020,false,
125919,Madagascar,2020,false,
125920,Madagascar,2020,false,
125921,Madagascar,2020,false,
125922,Madagascar,2017,false,
125923,Madagascar,2019,false,
125924,Madagascar,2020,false,
125925,Madagascar,2020,false,
125926,Madagascar,2020,false,
125927,Madagascar,2020,false,
125928,Madagascar,2020,false,
125929,Madagascar,2020,false,
125930,Madagascar,2020,false,
125931,Madagascar,2020,false,
125932,Madagascar,2020,false,
125933,Madagascar,2017,false,
125934,Madagascar,2020,false,
125935,Madagascar,2019,false,
125936,Madagascar,2020,false,
125937,Madagascar,2020,false,
125938,Madagascar,2020,false,
125939,Madagascar,2019,false,
125940,Madagascar,2020,false,
125941,Madagascar,2020,false,
125942,Madagascar,2020,false,
125943,Madagascar,2016,false,
125945,Madagascar,2020,false,
125947,Madagascar,2020,false,
125948,Madagascar,2020,false,
125950,Madagascar,2016,false,
125951,Madagascar,2020,false,
126241,South Africa,2022,false,
126242,South Africa,2022,false,
126243,South Africa,2022,false,
126244,South Africa,2022,false,
126245,South Africa,2022,false,
126246,South Africa,2022,false,
126247,South Africa,2022,false,
126248,South Africa,2022,false,
126249,South Africa,2022,false,
126250,South Africa,2022,false,
126251,South Africa,2022,false,
126252,South Africa,2022,false,
126253,South Africa,2022,false,
126254,South Africa,2022,false,
126255,South Africa,2022,false,
126256,South Africa,2022,false,
126257,South Africa,2022,false,
126258,South Africa,2022,false,
126259,South Africa,2022,false,
126260,South Africa,2022,false,
126261,South Africa,2022,false,
126262,South Africa,2022,false,
126263,South Africa,2022,false,
126264,South Africa,2022,false,
126265,South Africa,2022,false,
126266,South Africa,2022,false,
126267,South Africa,2022,false,
126268,South Africa,2022,false,
126269,South Africa,2022,false,
126270,South Africa,2022,false,
126271,South Africa,2022,false,
126272,South Africa,2022,false,
126273,South Africa,2022,false,
126274,South Africa,2022,false,
126275,South Africa,2022,false,
126929,South Africa,2022,false,
126930,South Africa,2022,false,
126931,South Africa,2022,false,
126932,South Africa,2022,false,
126933,South Africa,2022,false,
