id,isolate,ciprofloxacin_mic,penicillin_mic,tetracycline_mic
131251,GP-14-MUS-154,0.5,,
131252,GP-14-MUS-156,0.5,,
131253,GP-14-MUS-165,2,,
131254,GP-14-MUS-183,0.38,,
131255,GP-14-MUS-189,0.064,,
131256,GP-14-MUS-194,3,,
131257,GP-14-MUS-211,3,0.38,24
131258,GP-14-MUS-212,8,0.125,32
131259,GP-14-MUS-213,0.5,,
131260,GP-14-MUS-214,0.5,,
131261,GP-14-MUS-218,2,,
131262,GP-14-MUS-219,0.38,,
131263,GP-14-MUS-221,3,,
131264,GP-14-MUS-224,2,,
131265,GP-14-MUS-232,4,,
131266,GP-14-MUS-238,0.38,,
131267,GP-14-MUS-243,0.38,,
131268,GP-14-MUS-244,0.38,,
131269,GP-14-MUS-246,3,,
131270,GP-14-MUS-247,0.5,,
131271,GP-14-MUS-250,0.38,,
131272,GP-14-MUS-251,0.125,,
131273,GP-14-MUS-252,0.38,,
131274,15MUS-AH001,4,16,32
131275,15MUS-AH007,0.004,0.25,0.5
131276,15MUS-AH008,4,16,32
131277,15MUS-AH009,4,1,32
131278,15MUS-AH021,4,16,16
131279,15MUS-AH029,4,0.5,32
131280,15MUS-AH030,4,32,16
131281,15MUS-AH041,8,32,32
131282,15MUS-AH042,0.004,2,32
131283,15MUS-AH060,4,0.5,32
131284,15MUS-AH061,8,1,32
131285,15MUS-AH063,2,2,32
131286,15MUS-AH064,0.008,256,12
131287,15MUS-AH068,0.5,16,16
131288,15MUS-AH077,0.004,0.25,0.5
131289,15MUS-AH078,0.004,0.25,16
131290,15MUS-AH079,2,32,16
131291,15MUS-AH083,4,16,16
131292,15MUS-AH084,0.004,32,16
131293,15MUS-AH085,4,0.5,16
131294,15MUS-AH086,4,0.5,16
131295,15MUS-AH087,0.004,0.5,8
131296,15MUS-AH088,2,16,8
131297,15MUS-AH089,1,32,8
131298,15MUS-AH092,4,0.128,0.5
131299,15MUS-AH093,4,1,8
131300,15MUS-AH094,0.004,0.032,6
131301,15MUS-AH096,0.004,0.25,8
131302,15MUS-AH101,4,0.25,8
131303,15MUS-AH103,2,16,32
131304,15MUS-AH106,8,0.5,32
131305,15MUS-AH108,2,32,32
131306,15MUS-AH112,8,32,32
131307,15MUS-AH113,0.008,0.5,32
131308,15MUS-AH117,,,
131309,15MUS-AH119,,,
131310,15MUS-AH121,,,
131311,15MUS-AH122,,,
131312,15MUS-AH130,2,32,32
131313,15MUS-AH131,4,0.047,12
131314,15MUS-AH133,8,32,32
131315,15MUS-AH135,1,0.5,32
131316,15MUS-AH138,2,16,32
131317,15MUS-AH140,2,16,32
131318,15MUS-AH143,4,32,16
131319,15MUS-AH146,4,0.5,16
131320,15MUS-AH148,4,8,16
131321,15MUS-AH149,4,0.064,16
131322,15MUS-AH150,4,0.5,16
131323,15MUS-AH152,1,8,32
131324,15MUS-AH153,1,8,32
131325,15MUS-AH154,2,16,32
131326,15MUS-AH160,0.008,32,32
131327,15MUS-AH165,8,4,32
131328,15MUS-AH166,8,8,32
131329,16MUS-AH007,2,8,0.5
131330,16MUS-AH009,0.008,0.5,32
131331,16MUS-AH010,0.008,2,32
131332,16MUS-AH011,1,1,32
131333,16MUS-AH012,2,16,8
131334,16MUS-AH017,2,8,32
131335,16MUS-AH019,4,32,32
131336,16MUS-AH023,0.25,8,16
131337,16MUS-AH026,2,16,32
131338,16MUS-AH029,4,8,16
131339,16MUS-AH030,4,16,32
131340,16MUS-AH034,0.008,0.5,32
131341,16MUS-AH057,2,8,16
131342,16MUS-AH060,1,1,32
131343,16MUS-AH062,1,8,16
131344,16MUS-AH063,2,0.25,16
131345,16MUS-AH064,2,0.25,16
131346,16MUS-AH067,2,32,16
131347,16MUS-AH068,1,16,0.5
131348,16MUS-aH070,2,0.5,16
131349,16MUS-AH082,4,32,16
131350,16MUS-AH085,4,8,1
131351,16MUS-AH087,16,0.25,32
131352,16MUS-AH088,4,8,0.5
131353,16MUS-AH089,1,4,16
131354,16MUS-AH091,4,16,0.25
131355,16MUS-AH093,1,4,32
131356,16MUS-AH094,4,0.125,8
131357,16MUS-AH097,4,8,0.5
131358,16MUS-AH100,1,8,32
131359,16MUS-AH101,2,0.25,8
131360,16MUS-AH109,0.5,8,16
131361,16MUS-AH113,2,4,16
131362,16MUS-AH116,4,16,16
131363,16MUS-AH118,2,8,32
131364,16MUS-AH119,1,4,32
131365,16MUS-AH121,0.004,0.25,0.25
131366,16MUS-AH124,1,16,16
131367,16MUS-AH126,2,32,32
131368,16MUS-AH131,2,0.5,32
131369,16MUS-AH140,8,32,32
131370,16MUS-AH142,8,32,32
131371,16MUS-AH146,0.004,0.064,8
131372,16MUS-AH147,8,32,32
131373,16MUS-AH152,8,0.5,1
131374,17MUS-AH002,,,
131375,17MUS-AH004,,256,8
131376,17MUS-AH007,,,
131377,17MUS-AH009,,256,0.5
131378,17MUS-AH011,,256,6
131379,17MUS-AH012,,,
131380,17MUS-AH014,,,
131381,17MUS-AH015,,,
131382,17MUS-AH018,,256,8
140559,17MUS_AH099_S94,,,
140560,17MUS_AH121_S96,,,
140561,17MUS_AH117_S95,,,
140562,18MUS_AH145_S102,,,
140563,18MUS_AH147_S103,,,
140564,18MUS_KH083_S97,,,
140565,18MUS_KM012_S99,,,
140566,18MUS_KM013_S80,,,
140567,18MUS_KM016_S100,,,
140568,18MUS_KM021_S81,,,
140569,18MUS_KM070_S101,,,
140570,18MUS_KM071_S82,,,
140571,18MUS_ZW085_S98,,,
140572,19MUS_AH073_S104,,,
140573,19MUS_AH108_S105,,,
140574,19MUS_AH110_S83,,,
140575,19MUS_AH122_S106,,,
140576,19MUS_AH166_S107,,,
140577,20MUS_AH027_S84,,,
140578,20MUS_AH028_S108,,,
140579,20MUS_AH030_S85,,,
140580,20MUS_AH032_S109,,,
140581,20MUS_AH0138_S110,,,
140582,20MUS_CZ054_S86,,,
140583,20MUS_CZ055_S111,,,
140584,21MUS_AH020_S112,,,
140585,21MUS_AH021_S113,,,
140586,21MUS_AH104_S114,,,
140587,21MUS_AH105_S87,,,
140588,21MUS_AH110_S115,,,
140589,21MUS_AH111_S88,,,
140590,21MUS_AH124_S116,,,
140591,21MUS_AH125_S89,,,
140592,21MUS_AH166_S117,,,
140593,21MUS_AH237_S90,,,
140594,21MUS_AH239_S118,,,
140595,21MUS_CZ189_S91,,,
140596,21MUS_CZ191_S119,,,
140597,21MUS_CZ197_S120,,,
140598,21MUS_CZ198_S92,,,
140599,21MUS_CZ201_S121,,,
140600,22MUS_AH054_S93,,,
140601,17MUS_AH098,,,
140602,17MUS_AH118,,,
140603,17MUS_AH120,,,
140604,17MUS_KH085,,,
140605,17MUS_ZW084,,,
140611,19MUS_AH072,,,
140612,19MUS_AH119,,,
140613,19MUS_AH164,,,
140617,20MUS_AH139,,,
140618,21MUS_AH165,,,
140619,21MUS_CZ202,,,
155409,GP12-MUS-242,,,
155410,GP13-MUS-070,,,
155411,GP13-MUS-083,,,
155412,GP13-MUS-096,,,
155413,GP13-MUS-099,,,
155414,GP13-MUS-103,,,
155415,GP13-MUS-105,,,
155416,GP13-MUS-107,,,
155417,GP13-MUS-109,,,
155418,GP13-MUS-116,,,
155419,GP13-MUS-120,,,
155420,GP13-MUS-121,,,
155421,GP13-MUS-129,,,
155422,GP13-MUS-132,,,
155423,GP13-MUS-133,,,
155424,GP13-MUS-134,,,
155425,GP14-MUS-241,,,
155426,15MUS-AH035,,,
155427,15MUS-AH077-R,,,
155428,15MUS-AH080,,,
155429,15MUS-AH090,,,
155431,15MUS-AH129,,,
155433,15MUS-AH168,,,
155434,16MUS-AH017-R,,,
155435,17MUS-AH017-R,,,
155436,17MUS-AH019,,,
155437,17MUS-AH021,,,
155438,17MUS-AH024,,,
155439,17MUS-AH026,,,
155440,17MUS-AH027,,,
155441,17MUS-AH029,,,
155442,17MUS-AH034,,,
155443,17MUS-AH035-R,,,
155444,17MUS-AH038,,,
155445,17MUS-AH039,,,
155446,17MUS-AH041,,,
155447,17MUS-AH044,,,
155448,17MUS-AH047,,,
155449,17MUS-AH051,,,
155450,17MUS-AH052,,,
155451,17MUS-AH054,,,
155452,17MUS-AH056,,,
155453,17MUS-AH057,,,
155454,17MUS-AH058,,,
155455,17MUS-AH059,,,
155456,17MUS-AH060-R,,,
155457,17MUS-AH065,,,
155458,17MUS-AH066,,,
155459,17MUS-AH068,,,
155460,17MUS-AH069,,,
155461,17MUS-AH070-R,,,
155462,17MUS-AH071,,,
155463,17MUS-AH073-1,,,
155464,17MUS-AH073-2,,,
155465,17MUS-AH074,,,
155466,17MUS-AH075,,,
155467,17MUS-AH076,,,
155468,17MUS-AH098,,,
155469,17MUS-AH100,,,
155470,17MUS-AH101,,,
155471,17MUS-AH103,,,
155472,17MUS-AH105,,,
155473,17MUS-AH106,,,
155474,17MUS-AH107,,,
155475,17MUS-AH108-1,,,
155476,17MUS-AH108-2,,,
155477,17MUS-AH110,,,
155478,17MUS-AH111,,,
155479,17MUS-AH112,,,
155480,17MUS-AH116,,,
155481,17MUS-AH123,,,
155482,17MUS-AH124,,,
155483,MP12-MUS-001,,,
155484,MP12-MUS-010,,,
155485,MP12-MUS-012,,,
155486,MP12-MUS-013,,,
155487,MP12-MUS-015,,,
155488,MP12-MUS-028,,,
155489,MP12-MUS-030,,,
155490,MP12-MUS-035,,,
155491,MP12-MUS-037,,,
155492,MP12-MUS-041,,,
155493,MP12-MUS-044,,,
155494,MP12-MUS-046,,,
155495,MP12-MUS-047,,,
155496,MP12-MUS-048,,,
155497,MP12-MUS-050,,,
155498,MP12-MUS-051,,,
155499,MP12-MUS-053,,,
155500,MP12-MUS-055,,,
155501,MP12-MUS-056,,,
155502,MP12-MUS-057,,,
155503,MP12-MUS-059,,,
155504,MP12-MUS-060,,,
155508,MP12-MUS-066,,,
155509,MP12-MUS-069,,,
155510,MP12-MUS-074,,,
155511,MP12-MUS-078,,,
155512,MP12-MUS-079,,,
155513,KN13-MUS-001,,,
155514,KN13-MUS-003,,,
155515,KN13-MUS-014,,,
155516,KN13-MUS-073,,,
155517,KN13-MUS-075,,,
155518,KN13-MUS-076,,,
155519,KN13-MUS-078,,,
155520,KN13-MUS-079,,,
155521,KN13-MUS-088,,,
155522,KN13-MUS-090,,,
155523,KN13-MUS-098,,,
155524,KN13-MUS-106,,,
155525,KN13-MUS-111,,,
155526,KN13-MUS-120,,,
155527,KN13-MUS-129,,,
155528,KN13-MUS-131,,,
155529,KN13-MUS-132,,,
155530,KN13-MUS-137,,,
155531,KN13-MUS-140,,,
155532,KN13-MUS-141,,,
155533,KN13-MUS-143,,,
155534,KN13-MUS-145,,,
155535,KN13-MUS-180,,,
155536,KN13-MUS-197,,,
155537,KN13-MUS-200,,,
155538,KN13-MUS-202,,,
155539,15MUS-GQ003,,,
155540,15MUS-GQ005,,,
155541,15MUS-GQ006,,,
155542,15MUS-GQ007,,,
155543,15MUS-GQ009-1,,,
155544,15MUS-GQ009-2,,,
155545,15MUS-GQ040,,,
155546,15MUS-GQ047,,,
155547,15MUS-GQ049,,,
155548,15MUS-GQ053,,,
155549,15MUS-GQ151,,,
155550,14MUS-JO004,,,
155551,14MUS-JO006,,,
155552,14MUS-JO009,,,
155553,14MUS-JO011,,,
155554,14MUS-JO015,,,
155555,14MUS-JO017,,,
155556,14MUS-JO020,,,
155557,14MUS-JO027,,,
155558,14MUS-JO028,,,
155559,14MUS-JO029,,,
155560,14MUS-JO030,,,
155561,14MUS-JO033,,,
155562,14MUS-JO037,,,
155563,14MUS-JO038,,,
155564,14MUS-JO040,,,
155565,14MUS-JO041,,,
155566,14MUS-JO045,,,
155567,14MUS-JO055,,,
155568,14MUS-JO060,,,
155569,14MUS-JO064,,,
155570,14MUS-JO066,,,
155571,14MUS-JO067,,,
155572,14MUS-JO068,,,
155573,14MUS-JO076,,,
155574,14MUS-JO077,,,
155575,14MUS-JO078,,,
155576,14MUS-JO084,,,
155577,20MUS-AH002,,,
155578,20MUS-AH004,,,
155579,20MUS-AH005,,,
155580,20MUS-AH007,,,
155581,20MUS-AH008,,,
155582,20MUS-AH010,,,
155583,20MUS-AH011,,,
155584,20MUS-AH012,,,
155585,20MUS-AH013,,,
155586,20MUS-AH017,,,
155587,20MUS-AH021,,,
155588,20MUS-AH022,,,
155589,20MUS-AH023,,,
155590,20MUS-AH027,,,
155591,20MUS-AH030,,,
155592,20MUS-AH032,,,
155593,20MUS-AH034,,,
155594,20MUS-AH036,,,
155595,20MUS-AH037,,,
155596,20MUS-AH039,,,
155597,20MUS-AH040,,,
155598,20MUS-AH042,,,
155599,20MUS-AH044-1,,,
155600,20MUS-AH044-2,,,
155601,20MUS-AH045,,,
155602,20MUS-AH052,,,
155603,20MUS-AH053,,,
155604,20MUS-AH054,,,
155605,20MUS-AH055,,,
155606,20MUS-AH057,,,
155607,20MUS-AH061,,,
155608,20MUS-AH063,,,
155609,20MUS-AH065,,,
155610,20MUS-AH067,,,
155611,20MUS-AH074,,,
155612,20MUS-AH080,,,
155613,20MUS-AH081,,,
155614,20MUS-AH083,,,
155615,20MUS-AH084,,,
155616,20MUS-AH085-1,,,
155617,20MUS-AH085-2,,,
155618,20MUS-AH095,,,
155619,20MUS-AH096,,,
155620,20MUS-AH098-1,,,
155621,20MUS-AH098-2,,,
155622,20MUS-AH103,,,
155623,20MUS-AH104,,,
155624,20MUS-AH105,,,
155625,20MUS-AH108,,,
155626,20MUS-AH110-1,,,
155627,20MUS-AH110-2,,,
155628,20MUS-AH112,,,
155629,20MUS-AH114,,,
155630,20MUS-AH117,,,
155631,20MUS-AH121,,,
155632,20MUS-AH122,,,
155633,20MUS-AH124,,,
155634,20MUS-AH125,,,
155635,20MUS-AH127,,,
155636,20MUS-AH129,,,
155637,20MUS-AH135,,,
155638,20MUS-AH138,,,
