cgST,Frequency,Percentage
34315,1,0.14
34316,1,0.14
34318,1,0.14
34320,1,0.14
34321,1,0.14
34322,1,0.14
34323,1,0.14
34324,1,0.14
34325,1,0.14
34326,1,0.14
34327,1,0.14
34328,1,0.14
34329,1,0.14
34330,1,0.14
34331,1,0.14
34332,1,0.14
34333,1,0.14
34334,1,0.14
34335,1,0.14
34336,1,0.14
34337,1,0.14
34338,1,0.14
34339,1,0.14
34340,1,0.14
34341,1,0.14
34342,1,0.14
34343,1,0.14
34344,1,0.14
34345,1,0.14
34346,1,0.14
34347,1,0.14
34348,1,0.14
34349,1,0.14
34351,1,0.14
34352,1,0.14
34353,1,0.14
34354,1,0.14
34355,1,0.14
34356,1,0.14
34357,1,0.14
34358,1,0.14
34359,1,0.14
34360,1,0.14
34362,1,0.14
34363,1,0.14
34364,1,0.14
34365,1,0.14
34366,1,0.14
34367,1,0.14
34368,1,0.14
34369,1,0.14
34370,1,0.14
34371,1,0.14
34372,1,0.14
34373,1,0.14
34374,1,0.14
34375,1,0.14
34376,1,0.14
34377,1,0.14
34378,1,0.14
34380,1,0.14
34381,1,0.14
34382,1,0.14
34383,1,0.14
34384,1,0.14
34385,1,0.14
34386,1,0.14
34387,1,0.14
34409,1,0.14
34410,1,0.14
34411,1,0.14
34412,1,0.14
34413,1,0.14
34414,1,0.14
34415,1,0.14
34416,1,0.14
34417,1,0.14
34418,1,0.14
34419,1,0.14
34420,1,0.14
34421,1,0.14
34422,1,0.14
34423,1,0.14
34424,1,0.14
34425,1,0.14
34426,1,0.14
34427,1,0.14
34428,1,0.14
34429,1,0.14
34430,1,0.14
34431,1,0.14
34432,1,0.14
34433,1,0.14
34434,1,0.14
34435,1,0.14
34436,1,0.14
34437,1,0.14
34438,1,0.14
34439,1,0.14
34442,1,0.14
34443,1,0.14
34444,1,0.14
34445,1,0.14
34446,1,0.14
34447,1,0.14
34448,1,0.14
34449,1,0.14
34450,1,0.14
34451,1,0.14
34452,1,0.14
34453,1,0.14
34454,1,0.14
34455,1,0.14
34456,1,0.14
34457,1,0.14
34458,1,0.14
34459,1,0.14
34460,1,0.14
34461,1,0.14
34462,1,0.14
34463,1,0.14
34464,1,0.14
34465,1,0.14
34466,1,0.14
34467,1,0.14
34468,1,0.14
34469,1,0.14
34470,1,0.14
34471,1,0.14
34472,1,0.14
34474,1,0.14
34475,1,0.14
34476,1,0.14
34478,1,0.14
34479,1,0.14
34480,1,0.14
34483,1,0.14
34484,1,0.14
34485,1,0.14
34486,1,0.14
34487,1,0.14
34488,1,0.14
34489,1,0.14
34490,1,0.14
34491,1,0.14
34493,1,0.14
34494,1,0.14
34496,1,0.14
34497,1,0.14
34499,1,0.14
34500,1,0.14
34501,1,0.14
34502,1,0.14
34503,1,0.14
34504,1,0.14
34505,1,0.14
34506,1,0.14
34508,1,0.14
34510,1,0.14
34511,1,0.14
34512,1,0.14
34513,1,0.14
34514,1,0.14
34516,1,0.14
34517,1,0.14
34518,1,0.14
34519,1,0.14
34520,1,0.14
34521,1,0.14
34523,1,0.14
34524,1,0.14
34525,1,0.14
34526,1,0.14
34528,1,0.14
34529,1,0.14
34530,1,0.14
34531,1,0.14
34532,1,0.14
34533,1,0.14
34534,1,0.14
34535,1,0.14
34536,1,0.14
