id,isolate,country,azithromycin_mic,cefixime_mic,ceftriaxone_mic,private_record,private_owner
118363,16-499,Sweden,,,,false,
119361,16AM111503,Sweden,,,,false,
131096,GP-12-MUS-049,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131097,GP-12-MUS-052,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131102,GP-12-MUS-092,South Africa,0.5,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131108,GP-12-MUS-109,South Africa,0.128,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131110,GP-12-MUS-115,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131120,GP-12-MUS-199,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131124,GP-12-MUS-214,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131142,GP-12-MUS-319,South Africa,0.5,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131146,GP-12-MUS-333,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131167,GP-13-MUS-076,South Africa,0.5,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131175,GP-13-MUS-096,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131182,GP-13-MUS-120,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131185,GP-13-MUS-132,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131198,GP13-MUS-203,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131210,GP-13-MUS-244,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131212,GP-13-MUS-253,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131219,GP-13-MUS-275,South Africa,,0.016,0.004,true,"Anastasia Unitt, University of Oxford"
131227,GP-14-MUS-054,South Africa,,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131233,GP-14-MUS-082,South Africa,0.25,0.016,0.006,true,"Anastasia Unitt, University of Oxford"
131241,GP-14-MUS-107,South Africa,0.128,0.023,0.012,true,"Anastasia Unitt, University of Oxford"
131283,15MUS-AH060,South Africa,0.128,0.016,0.003,true,"Anastasia Unitt, University of Oxford"
131286,15MUS-AH064,South Africa,0.19,0.016,0.002,true,"Anastasia Unitt, University of Oxford"
131294,15MUS-AH086,South Africa,0.128,0.016,0.003,true,"Anastasia Unitt, University of Oxford"
