cgST,Frequency,Percentage
29693,1,0.13
29694,1,0.13
32544,1,0.13
32545,1,0.13
32546,1,0.13
32547,1,0.13
32548,1,0.13
32549,1,0.13
32550,1,0.13
32551,1,0.13
32552,1,0.13
32553,1,0.13
32554,1,0.13
32555,1,0.13
32556,1,0.13
32557,1,0.13
32558,1,0.13
32559,1,0.13
32560,1,0.13
32561,1,0.13
32562,1,0.13
32563,1,0.13
32564,1,0.13
32565,1,0.13
32566,1,0.13
32567,1,0.13
32568,1,0.13
32569,1,0.13
32570,1,0.13
32571,1,0.13
32572,1,0.13
32573,1,0.13
32574,1,0.13
32575,1,0.13
32576,1,0.13
32577,1,0.13
32578,1,0.13
32579,1,0.13
32580,1,0.13
32581,1,0.13
32582,1,0.13
32583,1,0.13
32584,1,0.13
32585,1,0.13
32586,1,0.13
32587,1,0.13
32588,1,0.13
32589,1,0.13
32590,1,0.13
32591,1,0.13
32592,1,0.13
32593,1,0.13
32594,1,0.13
32746,1,0.13
33260,1,0.13
33284,1,0.13
33764,1,0.13
33765,1,0.13
33770,1,0.13
34307,1,0.13
34308,1,0.13
34310,1,0.13
34311,1,0.13
34312,1,0.13
34313,1,0.13
34314,1,0.13
34315,1,0.13
34316,1,0.13
34318,1,0.13
34320,1,0.13
34321,1,0.13
34322,1,0.13
34323,1,0.13
34324,1,0.13
34325,1,0.13
34326,1,0.13
34327,1,0.13
34328,1,0.13
34329,1,0.13
34330,1,0.13
34331,1,0.13
34332,1,0.13
34333,1,0.13
34334,1,0.13
34335,1,0.13
34336,1,0.13
34337,1,0.13
34338,1,0.13
34339,1,0.13
34340,1,0.13
34341,1,0.13
34342,1,0.13
34343,1,0.13
34344,1,0.13
34345,1,0.13
34346,1,0.13
34347,1,0.13
34348,1,0.13
34349,1,0.13
34351,1,0.13
34352,1,0.13
34353,1,0.13
34354,1,0.13
34355,1,0.13
34356,1,0.13
34357,1,0.13
34358,1,0.13
34359,1,0.13
34360,1,0.13
34362,1,0.13
34363,1,0.13
34364,1,0.13
34365,1,0.13
34366,1,0.13
34367,1,0.13
34368,1,0.13
34369,1,0.13
34370,1,0.13
34371,1,0.13
34372,1,0.13
34373,1,0.13
34374,1,0.13
34375,1,0.13
34376,1,0.13
34377,1,0.13
34378,1,0.13
34380,1,0.13
34381,1,0.13
34382,1,0.13
34383,1,0.13
34384,1,0.13
34385,1,0.13
34386,1,0.13
34387,1,0.13
34409,1,0.13
34410,1,0.13
34411,1,0.13
34412,1,0.13
34413,1,0.13
34414,1,0.13
34415,1,0.13
34416,1,0.13
34417,1,0.13
34418,1,0.13
34419,1,0.13
34420,1,0.13
34421,1,0.13
34422,1,0.13
34423,1,0.13
34424,1,0.13
34425,1,0.13
34426,1,0.13
34427,1,0.13
34428,1,0.13
34429,1,0.13
34430,1,0.13
34431,1,0.13
34432,1,0.13
34433,1,0.13
34434,1,0.13
34435,1,0.13
34436,1,0.13
34437,1,0.13
34438,1,0.13
34439,1,0.13
34442,1,0.13
34443,1,0.13
34444,1,0.13
34445,1,0.13
34446,1,0.13
34447,1,0.13
34448,1,0.13
34449,1,0.13
34450,1,0.13
34451,1,0.13
34452,1,0.13
34453,1,0.13
34454,1,0.13
34455,1,0.13
34456,1,0.13
34457,1,0.13
34458,1,0.13
34459,1,0.13
34460,1,0.13
34461,1,0.13
34462,1,0.13
34463,1,0.13
34464,1,0.13
34465,1,0.13
34466,1,0.13
34467,1,0.13
34468,1,0.13
34469,1,0.13
34470,1,0.13
34471,1,0.13
34472,1,0.13
34474,1,0.13
34475,1,0.13
34476,1,0.13
34478,1,0.13
34479,1,0.13
34480,1,0.13
34483,1,0.13
34484,1,0.13
34485,1,0.13
34486,1,0.13
34487,1,0.13
34488,1,0.13
34489,1,0.13
34490,1,0.13
34491,1,0.13
34493,1,0.13
34494,1,0.13
34496,1,0.13
34497,1,0.13
34499,1,0.13
34500,1,0.13
34501,1,0.13
34502,1,0.13
34503,1,0.13
34504,1,0.13
34505,1,0.13
34506,1,0.13
34508,1,0.13
34510,1,0.13
34511,1,0.13
34512,1,0.13
34513,1,0.13
34514,1,0.13
34516,1,0.13
34517,1,0.13
34518,1,0.13
34519,1,0.13
34520,1,0.13
34521,1,0.13
34523,1,0.13
34524,1,0.13
34525,1,0.13
34526,1,0.13
34528,1,0.13
34529,1,0.13
34530,1,0.13
34531,1,0.13
34532,1,0.13
34533,1,0.13
34534,1,0.13
34535,1,0.13
34536,1,0.13
34537,1,0.13
34538,1,0.13
34539,1,0.13
34540,1,0.13
34541,1,0.13
34542,1,0.13
34543,1,0.13
34544,1,0.13
34545,1,0.13
34546,1,0.13
34547,1,0.13
34549,1,0.13
34550,1,0.13
34551,1,0.13
34552,1,0.13
34553,1,0.13
34554,1,0.13
34555,1,0.13
34556,1,0.13
34557,1,0.13
34558,1,0.13
34559,1,0.13
34560,1,0.13
34561,1,0.13
34562,1,0.13
34563,1,0.13
34564,1,0.13
34565,1,0.13
34566,1,0.13
34567,1,0.13
34568,1,0.13
34569,1,0.13
34570,1,0.13
34571,1,0.13
34572,1,0.13
34573,1,0.13
34574,1,0.13
34575,1,0.13
34576,1,0.13
34577,1,0.13
34578,1,0.13
34579,1,0.13
34580,1,0.13
34581,1,0.13
34582,1,0.13
34583,1,0.13
34584,1,0.13
34585,1,0.13
34586,1,0.13
34587,1,0.13
34588,1,0.13
34589,1,0.13
34590,1,0.13
34591,1,0.13
34592,1,0.13
34593,1,0.13
34594,1,0.13
34595,1,0.13
34596,1,0.13
34597,1,0.13
34598,1,0.13
34599,1,0.13
34600,1,0.13
34601,1,0.13
34602,1,0.13
34603,1,0.13
34604,1,0.13
34606,1,0.13
943,1,0.13
34607,1,0.13
944,1,0.13
945,1,0.13
9176,1,0.13
9329,1,0.13
9335,1,0.13
19409,1,0.13
19410,1,0.13
19411,1,0.13
19412,1,0.13
19413,1,0.13
19414,1,0.13
19416,1,0.13
19417,1,0.13
19418,1,0.13
19419,1,0.13
19420,1,0.13
19421,1,0.13
19422,1,0.13
19423,1,0.13
19424,1,0.13
19425,1,0.13
19426,1,0.13
19427,1,0.13
19428,1,0.13
19429,1,0.13
19430,1,0.13
19431,1,0.13
19432,1,0.13
19433,1,0.13
19434,1,0.13
19435,1,0.13
19436,1,0.13
19437,1,0.13
19438,1,0.13
19439,1,0.13
19440,1,0.13
19441,1,0.13
19442,1,0.13
19443,1,0.13
19444,1,0.13
19445,1,0.13
19446,1,0.13
19447,1,0.13
19448,1,0.13
19449,1,0.13
19450,1,0.13
19451,1,0.13
19452,1,0.13
19453,1,0.13
19454,1,0.13
19455,1,0.13
19456,1,0.13
19457,1,0.13
19458,1,0.13
19459,1,0.13
19460,1,0.13
