id,isolate,country,year,azithromycin_mic,23S_rRNA,NEIS0133,NEIS1633,NEIS1634,NEIS1635,pro_NEIS1635,private_record,private_owner
8968,GC26,UK [England],2001,,,,,,,,false,
8969,F981,Nigeria,2000,,,,,,,,false,
8970,BE/3292,UK [England],1987,,,,,,,,false,
8971,M91/987,UK [England],1991,,,,,,,,false,
8972,AZ/240,UK [England],1983,,,,,,,,false,
8973,BC/2096,UK [England],1985,,,,,,,,false,
8974,F87/1856,UK [England],1987,,,,,,,,false,
8975,F82/1518,UK [England],1982,,,,,,,,false,
8976,F82/1710,UK [England],1982,,,,,,,,false,
8977,F82/1771,UK [England],1982,,,,,,,,false,
8978,F82/21771,UK [England],1982,,,,,,,,false,
8979,BG/1348,UK [England],1989,,,,,,,,false,
8980,BG/1921N,UK [England],1989,,,,,,,,false,
8981,BG/1921P,UK [England],1989,,,,,,,,false,
8982,BG/2246,UK [England],1989,,,,,,,,false,
8983,F89/2787,UK [England],1989,,,,,,,,false,
8984,BD/1365A,UK [England],1986,,,,,,,,false,
8985,F86/1430,UK [England],1986,,,,,,,,false,
8986,F86/1703,UK [England],1986,,,,,,,,false,
8987,BD/3091,UK [England],1986,,,,,,,,false,
8988,AY/1179,UK [England],1982,,,,,,,,false,
8989,BE/740,UK [England],1987,,,,,,,,false,
8990,F87/956,UK [England],1987,,,,,,,,false,
8991,BE/1229,UK [England],1987,,,,,,,,false,
8992,BE/1263,UK [England],1987,,,,,,,,false,
8993,BE/674,UK [England],1987,,,,,,,,false,
8994,F87/1449,UK [England],1987,,,,,,,,false,
8995,AX/1879,UK [England],1981,,,,,,,,false,
8996,F81/2139,UK [England],1981,,,,,,,,false,
8997,F87/1261,UK [England],1987,,,,,,,,false,
8998,AX/1894,UK [England],1981,,,,,,,,false,
8999,AY/1683,UK [England],1982,,,,,,,,false,
9000,F81/1911,UK [England],1981,,,,,,,,false,
9001,F81/2217,UK [England],1981,,,,,,,,false,
9002,F82/1333,UK [England],1982,,,,,,,,false,
9003,BF/1074,UK [England],1988,,,,,,,,false,
9004,FA1012,Unknown,,,,,,,,,false,
9005,FA1031,Unknown,,,,,,,,,false,
9006,FA1033,Unknown,,,,,,,,,false,
9007,FA1047,Unknown,,,,,,,,,false,
9008,FA1080,Unknown,,,,,,,,,false,
9009,FA1085,Unknown,,,,,,,,,false,
9010,FA1092,Unknown,,,,,,,,,false,
9011,FA1095,Unknown,,,,,,,,,false,
9012,FA3002,Unknown,,,,,,,,,false,
9013,FA7035,Unknown,,,,,,,,,false,
9014,FA1089,Unknown,,,,,,,,,false,
