id,country,year,azithromycin_mic_sign,cefixime_SIR,ceftriaxone_SIR,ciprofloxacin_SIR
60510,Kenya,2014,=,S,S,R
60511,Kenya,2013,=,S,S,R
60512,Kenya,2014,=,S,S,R
60513,Kenya,2016,=,S,S,R
60514,Kenya,2014,=,S,S,R
60515,Kenya,2015,=,S,S,R
60516,Kenya,2016,=,S,S,R
60517,Kenya,2015,=,S,S,R
60518,Kenya,2015,=,S,S,R
60519,Kenya,2016,=,S,S,R
60520,Kenya,2014,=,S,S,R
60521,Kenya,2017,=,S,S,R
60522,Kenya,2017,=,S,S,R
60523,Kenya,2017,=,S,S,R
60524,Kenya,2017,=,S,S,R
60525,Kenya,2013,=,,,R
60526,Kenya,2018,,S,S,R
60527,Kenya,2018,=,S,S,R
60528,Kenya,2018,=,S,S,R
60530,Kenya,2018,=,S,S,R
60531,Kenya,2018,=,S,S,R
61382,Ivory Coast,2012,=,S,S,R
61383,Ivory Coast,2012,=,S,S,R
89182,South Africa,2015,,,,
89183,South Africa,2015,,,,
89185,South Africa,2015,,,,
89186,South Africa,2017,,,,
89187,South Africa,2017,,,,
89188,South Africa,2017,,,,
89189,South Africa,2017,,,,
89190,South Africa,2015,,,,
89194,South Africa,2017,,,,
89195,South Africa,2015,,,,
89196,South Africa,2017,,,,
89197,South Africa,2015,,,,
89198,South Africa,2015,,,,
89199,South Africa,2017,,,,
89200,South Africa,2017,,,,
92898,South Africa,2019,=,S,S,I
92899,South Africa,2019,=,S,S,R
92900,South Africa,2019,=,S,S,R
92901,South Africa,2018,=,S,S,R
92902,South Africa,2019,=,S,S,R
92903,South Africa,2019,=,S,S,S
93214,South Africa,2019,,,,
95771,Ghana,2014,,,,
95772,Ghana,2014,,,,
95773,Ghana,2014,,,,
95774,Ghana,2014,,,,
95775,Ghana,2014,,,,
95776,Ghana,2014,,,,
95777,Ghana,2015,,,,
95778,Ghana,2015,,,,
95779,Ghana,2015,,,,
95780,Ghana,2013,,,,
95781,Ghana,2013,,,,
95782,Ghana,2013,,,,
95783,Ghana,2014,,,,
95784,Ghana,2014,,,,
95785,Ghana,2015,,,,
95786,Ghana,2015,,,,
95787,Ghana,2019,,,,
95788,Ghana,2019,,,,
95789,Ghana,2014,,,,
95790,Ghana,2012,,,,
95791,Ghana,2012,,,,
95792,Ghana,2012,,,,
95793,Ghana,2012,,,,
95794,Ghana,2012,,,,
95795,Ghana,2012,,,,
95796,Ghana,2015,,,,
95797,Ghana,2015,,,,
95798,Ghana,2015,,,,
95799,Ghana,2015,,,,
95800,Ghana,2015,,,,
95801,Ghana,2015,,,,
95802,Ghana,2018,,,,
95803,Ghana,2018,,,,
95804,Ghana,2019,,,,
95805,Ghana,2019,,,,
95806,Ghana,2019,,,,
95807,Ghana,2019,,,,
95808,Ghana,2019,,,,
95809,Ghana,2019,,,,
95810,Ghana,2019,,,,
95811,Ghana,2019,,,,
95812,Ghana,2019,,,,
95813,Ghana,2018,,,,
95814,Ghana,2019,,,,
95815,Ghana,2019,,,,
95816,Ghana,2019,,,,
95817,Ghana,2018,,,,
95818,Ghana,2018,,,,
95819,Ghana,2018,,,,
95820,Ghana,2018,,,,
95821,Ghana,2018,,,,
96169,South Africa,2013,=,S,S,R
96170,South Africa,2013,=,S,S,S
96171,South Africa,2014,=,S,S,S
96172,South Africa,2014,=,S,S,S
96173,South Africa,2014,=,S,S,S
96174,South Africa,2014,=,S,S,S
97776,Malawi,2018,,,,
97777,Malawi,2018,,,,
97778,Malawi,2018,,,,
97779,Malawi,2018,,,,
97780,Malawi,2018,,,,
97781,Malawi,2018,,,,
97782,Malawi,2018,,,,
97783,Malawi,2018,,,,
97784,Malawi,2018,,,,
105972,Kenya,2012,,S,S,I
105973,Kenya,2012,,S,S,R
105974,Kenya,2012,,S,S,I
105975,Kenya,2012,,S,S,R
105976,Kenya,2012,,S,S,R
105977,Kenya,2012,,S,S,S
105978,Kenya,2012,,S,S,R
105979,Kenya,2012,,S,S,S
105980,Kenya,2012,,S,S,R
105981,Kenya,2012,,S,S,R
106122,Kenya,2017,,,,
106123,Kenya,2016,,,,
106124,Kenya,2016,,,,
106125,Kenya,2017,,,,
106126,Kenya,2018,,,,
106127,Kenya,2016,,,,
106128,Kenya,2017,,,,
106129,Kenya,2017,,,,
106130,Kenya,2016,,,,
106131,Kenya,2016,,,,
106132,Kenya,2016,,,,
106133,Kenya,2018,,,,
106134,Kenya,2016,,,,
106135,Kenya,2017,,,,
106136,Kenya,2016,,,,
106137,Kenya,2016,,,,
106138,Kenya,2016,,,,
106139,Kenya,2018,,,,
106140,Kenya,2017,,,,
106141,Kenya,2016,,,,
106142,Kenya,2016,,,,
106143,Kenya,2017,,,,
106144,Kenya,2017,,,,
106145,Kenya,2016,,,,
106146,Kenya,2016,,,,
106147,Kenya,2016,,,,
106148,Kenya,2018,,,,
106149,Kenya,2018,,,,
106150,Kenya,2018,,,,
106151,Kenya,2017,,,,
106152,Kenya,2016,,,,
106153,Kenya,2019,,,,
106154,Kenya,2016,,,,
106155,Kenya,2017,,,,
106156,Kenya,2017,,,,
106157,Kenya,2017,,,,
106158,Kenya,2017,,,,
106159,Kenya,2018,,,,
106160,Kenya,2017,,,,
106161,Kenya,2017,,,,
106162,Kenya,2019,,,,
106163,Kenya,2019,,,,
106164,Kenya,2020,,,,
106165,Kenya,2020,,,,
106166,Kenya,2019,,,,
106167,Kenya,2020,,,,
109097,South Africa,2018,=,S,S,S
109098,South Africa,2018,=,S,S,R
109099,South Africa,2018,=,S,S,S
109100,South Africa,2018,=,S,S,S
109101,South Africa,2018,=,S,S,R
109102,South Africa,2018,=,S,S,R
109103,South Africa,2018,=,S,S,R
109104,South Africa,2018,=,S,S,I
109105,South Africa,2018,=,S,S,R
109106,South Africa,2018,=,S,S,R
109107,South Africa,2018,=,S,S,R
109108,South Africa,2018,=,S,S,R
109109,South Africa,2018,=,S,S,R
109110,South Africa,2018,=,S,S,R
109111,South Africa,2019,=,S,S,S
109112,South Africa,2019,=,S,S,R
109113,South Africa,2019,=,S,S,R
109114,South Africa,2019,=,S,S,R
109115,South Africa,2019,=,S,S,R
109116,South Africa,2019,=,S,S,R
109117,South Africa,2019,=,S,S,I
109118,South Africa,2019,=,S,S,R
109119,South Africa,2019,=,S,S,R
109120,South Africa,2018,=,S,S,S
109121,South Africa,2018,=,S,S,R
111732,Ghana,2018,,,,
111733,Ghana,2019,,,,
111734,Ghana,2019,,,,
111735,Ghana,2019,,,,
111736,Ghana,2019,,,,
115183,South Africa,2019,,,,
115184,South Africa,2021,,,,
115185,South Africa,2021,,,,
116222,Uganda,2018,,,,
116223,Uganda,2018,,,,
116224,Uganda,2018,,,,
116225,Uganda,2018,,,,
116226,Uganda,2018,,,,
116227,Uganda,2018,,,,
116228,Uganda,2018,,,,
116229,Uganda,2018,,,,
116230,Uganda,2018,,,,
116231,Uganda,2018,,,,
116232,Uganda,2018,,,,
116233,Uganda,2018,,,,
116234,Uganda,2018,,,,
116235,Uganda,2018,,,,
116236,Uganda,2018,,,,
116237,Uganda,2018,,,,
116238,Uganda,2018,,,,
116239,Uganda,2018,,,,
116240,Uganda,2018,,,,
116241,Uganda,2018,,,,
116242,Uganda,2018,,,,
116243,Uganda,2018,,,,
116244,Uganda,2018,,,,
116245,Uganda,2018,,,,
116246,Uganda,2018,,,,
116247,Uganda,2018,,,,
