,index,ID,LIN,Lineage,country,isolate,year,mydata,SA
56,57,36252,1_1_11_0_0_0_0_0_0_0_0,1_1_11,Kenya,T032,,N,N
57,58,36253,0_16_0_1_9_0_0_0_0_0_0,0_16_0,Kenya,61450,2013.0,N,N
58,59,36254,0_0_33_46_6_0_0_0_0_0_0,0_0_33,Kenya,T034,,N,N
59,60,36255,0_16_0_2_2_1_0_0_0_1_0,0_16_0,Kenya,45453,2010.0,N,N
60,61,36256,0_16_0_1_0_2_0_1_0_0_0,0_16_0,Kenya,45676,2010.0,N,N
61,62,36257,11_0_2_2_0_0_0_0_0_0_0,11_0_2,Kenya,51960,2012.0,N,N
62,63,36258,0_16_0_1_4_1_0_0_0_0_0,0_16_0,Kenya,T041,,N,N
63,64,36259,0_16_0_1_0_3_0_0_0_0_0,0_16_0,Kenya,61580,2013.0,N,N
64,65,36260,,,Kenya,T047,,N,N
65,66,36261,,,Kenya,48871,2011.0,N,N
66,67,36262,0_18_6_1_0_0_0_0_0_1_0,0_18_6,Kenya,T049,,N,N
67,68,36263,0_16_0_2_1_0_0_0_0_0_0,0_16_0,Kenya,48501,2011.0,N,N
68,69,36264,0_18_6_1_0_0_0_0_0_1_0,0_18_6,Kenya,T052,,N,N
69,70,36265,0_16_0_1_8_0_0_0_0_0_0,0_16_0,Kenya,T053,,N,N
70,71,36266,0_16_0_3_0_0_0_0_0_0_0,0_16_0,Kenya,60096,2012.0,N,N
71,72,36267,0_0_47_5_11_0_0_1_0_0_0,0_0_47,Kenya,55496,2012.0,N,N
72,73,36268,0_18_6_0_0_0_0_0_0_1_0,0_18_6,Kenya,T060,2013.0,N,N
73,74,36269,0_16_0_6_0_0_0_0_0_0_0,0_16_0,Kenya,52263,2012.0,N,N
74,75,36270,0_0_36_0_1_0_0_0_0_0_0,0_0_36,Kenya,59688,2012.0,N,N
75,76,36271,0_16_1_2_0_0_0_0_0_0_0,0_16_1,Kenya,50659,2011.0,N,N
76,77,36272,0_16_0_1_15_0_0_0_0_0_0,0_16_0,Kenya,T064,,N,N
77,78,36273,0_16_0_6_0_0_0_0_0_1_0,0_16_0,Kenya,55798,2012.0,N,N
78,79,36274,0_16_4_0_5_0_0_0_0_0_0,0_16_4,Kenya,63518,2013.0,N,N
