,index,ID,LIN,Lineage,country,isolate,year,mydata,SA
258,259,96171,0_16_5_0_0_0_0_0_0_0_0,0_16_5,South Africa,R48,2014.0,N,other_SA
259,260,96172,57_0_0_1_0_0_0_0_0_0_0,57_0_0,South Africa,R59,2014.0,N,other_SA
260,261,96173,,,South Africa,R63,2014.0,N,other_SA
261,262,96174,1_1_27_2_2_0_0_0_0_0_0,1_1_27,South Africa,R73,2014.0,N,other_SA
262,263,106122,0_0_33_48_0_0_0_0_0_0_0,0_0_33,Kenya,1107_Kenya,2017.0,N,N
263,264,106123,0_0_33_58_0_0_0_0_0_0_0,0_0_33,Kenya,1284_Kenya,2016.0,N,N
264,265,106124,0_9_0_5_5_0_0_0_0_0_0,0_9_0,Kenya,1912_Kenya,2016.0,N,N
265,266,106125,0_0_33_48_0_0_0_0_0_1_0,0_0_33,Kenya,1912-5_Kenya,2017.0,N,N
266,267,106126,0_0_33_52_1_0_0_0_0_1_0,0_0_33,Kenya,2086_Kenya,2018.0,N,N
267,268,106127,0_16_0_7_0_0_0_0_0_0_0,0_16_0,Kenya,2172_Kenya,2016.0,N,N
268,269,106128,0_2_55_1_0_1_0_0_0_0_0,0_2_55,Kenya,2245_Kenya,2017.0,N,N
269,270,106129,0_0_33_48_0_0_0_0_1_0_0,0_0_33,Kenya,2250_Kenya,2017.0,N,N
270,271,106130,0_9_0_5_2_0_0_0_0_0_0,0_9_0,Kenya,2320_Kenya,2016.0,N,N
271,272,106131,0_0_36_1_0_1_0_0_0_0_0,0_0_36,Kenya,2350_Kenya,2016.0,N,N
272,273,106132,0_0_36_1_0_0_0_0_0_0_0,0_0_36,Kenya,2372_Kenya,2016.0,N,N
273,274,106133,1_0_0_1_0_0_0_0_0_0_0,1_0_0,Kenya,2416_Kenya,2018.0,N,N
274,275,106134,0_16_0_1_3_0_0_0_0_0_0,0_16_0,Kenya,2435_Kenya,2016.0,N,N
275,276,106135,0_0_33_48_0_0_0_0_0_2_0,0_0_33,Kenya,2438_Kenya,2017.0,N,N
276,277,106136,1_0_0_0_0_0_0_0_0_0_0,1_0_0,Kenya,2533_Kenya,2016.0,N,N
277,278,106137,1_1_34_0_1_0_0_0_0_1_0,1_1_34,Kenya,2537_Kenya,2016.0,N,N
278,279,106138,0_16_4_0_4_0_0_0_0_0_0,0_16_4,Kenya,2560_Kenya,2016.0,N,N
279,280,106139,0_0_33_46_7_0_0_0_0_0_0,0_0_33,Kenya,2564_Kenya,2018.0,N,N
280,281,106140,0_0_33_52_1_0_0_0_0_0_0,0_0_33,Kenya,2628_Kenya,2017.0,N,N
281,282,106141,0_2_55_1_0_0_0_0_0_0_0,0_2_55,Kenya,2643_Kenya,2016.0,N,N
282,283,106142,1_1_34_0_1_0_0_0_0_0_0,1_1_34,Kenya,2664_Kenya,2016.0,N,N
283,284,106143,0_9_0_5_0_0_0_0_0_0_0,0_9_0,Kenya,2665_Kenya,2017.0,N,N
284,285,106144,0_9_0_5_0_0_0_0_0_0_0,0_9_0,Kenya,2665-25_Kenya,2017.0,N,N
285,286,106145,1_1_34_3_0_0_0_0_0_0_0,1_1_34,Kenya,2687_Kenya,2016.0,N,N
286,287,106146,0_16_4_0_7_0_0_0_0_0_0,0_16_4,Kenya,2694_Kenya,2016.0,N,N
287,288,106147,0_16_4_0_4_1_0_0_0_0_0,0_16_4,Kenya,2695_Kenya,2016.0,N,N
288,289,106148,0_0_36_3_0_0_0_0_0_0_0,0_0_36,Kenya,2699_Kenya,2018.0,N,N
289,290,106149,0_16_4_0_10_0_0_0_0_0_0,0_16_4,Kenya,2710_Kenya,2018.0,N,N
290,291,106150,1_0_0_1_0_0_0_0_0_1_0,1_0_0,Kenya,2728_Kenya,2018.0,N,N
291,292,106151,0_0_36_1_0_3_0_0_0_0_0,0_0_36,Kenya,2730_Kenya,2017.0,N,N
292,293,106152,0_16_0_1_7_0_0_0_0_0_0,0_16_0,Kenya,2783_Kenya,2016.0,N,N
293,294,106153,1_1_2_0_43_0_0_0_0_0_0,1_1_2,Kenya,2796_Kenya,2019.0,N,N
294,295,106154,0_16_4_0_4_0_0_0_0_1_0,0_16_4,Kenya,2801_Kenya,2016.0,N,N
295,296,106155,0_0_33_52_0_0_0_0_0_1_0,0_0_33,Kenya,2822_Kenya,2017.0,N,N
296,297,106156,0_0_33_48_0_0_0_0_0_2_0,0_0_33,Kenya,2852_Kenya,2017.0,N,N
297,298,106157,0_7_0_4_15_0_0_0_0_1_0,0_7_0,Kenya,2875_Kenya,2017.0,N,N
298,299,106158,1_0_0_1_0_0_0_0_0_1_0,1_0_0,Kenya,2901_Kenya,2017.0,N,N
299,300,106159,0_16_0_7_0_1_0_0_0_0_0,0_16_0,Kenya,2903_Kenya,2018.0,N,N
300,301,106160,1_1_34_2_0_0_0_0_0_0_0,1_1_34,Kenya,2921_Kenya,2017.0,N,N
301,302,106161,0_0_33_52_0_0_0_0_0_0_0,0_0_33,Kenya,2932_Kenya,2017.0,N,N
302,303,106162,0_0_36_1_0_4_0_0_0_0_0,0_0_36,Kenya,3103_Kenya,2019.0,N,N
303,304,106163,0_9_0_5_4_0_0_0_0_0_0,0_9_0,Kenya,3107_Kenya,2019.0,N,N
304,305,106164,0_0_33_51_0_0_0_0_0_0_0,0_0_33,Kenya,3140_Kenya,2020.0,N,N
305,306,106165,0_7_0_4_11_0_0_0_0_0_0,0_7_0,Kenya,3313_Kenya,2020.0,N,N
306,307,106166,0_7_0_4_15_0_0_0_0_0_0,0_7_0,Kenya,00N210012_Kenya,2019.0,N,N
307,308,106167,0_0_36_1_0_2_0_0_0_0_0,0_0_36,Kenya,33100099_Kenya,2020.0,N,N
308,309,109097,,,South Africa,SA2018-601,2018.0,N,other_SA
309,310,109098,,,South Africa,SA2018-602,2018.0,N,other_SA
310,311,109099,,,South Africa,SA2018-603,2018.0,N,other_SA
311,312,109100,,,South Africa,SA2018-604,2018.0,N,other_SA
312,313,109101,,,South Africa,SA2018-605,2018.0,N,other_SA
313,314,109102,,,South Africa,SA2018-606,2018.0,N,other_SA
314,315,109103,,,South Africa,SA2018-607,2018.0,N,other_SA
315,316,109104,,,South Africa,SA2018-609,2018.0,N,other_SA
316,317,109105,,,South Africa,SA2018-610,2018.0,N,other_SA
317,318,109106,,,South Africa,SA2018-611,2018.0,N,other_SA
318,319,109107,,,South Africa,SA2018-612,2018.0,N,other_SA
319,320,109108,,,South Africa,SA2018-613,2018.0,N,other_SA
320,321,109109,,,South Africa,SA2018-614,2018.0,N,other_SA
321,322,109110,,,South Africa,SA2018-615,2018.0,N,other_SA
322,323,109111,,,South Africa,SA2019-810,2019.0,N,other_SA
323,324,109112,,,South Africa,SA2019-812,2019.0,N,other_SA
324,325,109113,,,South Africa,SA2019-813,2019.0,N,other_SA
325,326,109114,,,South Africa,SA2019-814,2019.0,N,other_SA
326,327,109115,,,South Africa,SA2019-815,2019.0,N,other_SA
327,328,109116,,,South Africa,SA2019-816,2019.0,N,other_SA
328,329,109117,,,South Africa,SA2019-817,2019.0,N,other_SA
329,330,109118,,,South Africa,SA2019-818,2019.0,N,other_SA
330,331,109119,,,South Africa,SA2019-819,2019.0,N,other_SA
331,332,109120,,,South Africa,SA2018-820,2018.0,N,other_SA
332,333,109121,,,South Africa,SA2018-821,2018.0,N,other_SA
333,334,111732,0_0_33_12_267_0_0_0_0_0_0,0_0_33,Ghana,GHA-TMH-633,2018.0,N,N
334,335,111733,0_0_33_12_272_0_0_0_0_0_0,0_0_33,Ghana,GHA-TMH-657,2019.0,N,N
335,336,111734,0_0_11_1_0_5_0_0_0_0_0,0_0_11,Ghana,GHA-TMH-663,2019.0,N,N
336,337,111735,,,Ghana,GHA-TMH-679,2019.0,N,N
337,338,111736,0_12_6_2_0_0_0_0_0_0_0,0_12_6,Ghana,GHA-TMH-685,2019.0,N,N
338,339,116222,0_16_0_1_16_0_0_0_0_0_0,0_16_0,Uganda,UG010,2018.0,N,N
339,340,116223,1_0_0_4_0_0_0_0_0_0_0,1_0_0,Uganda,UG117,2018.0,N,N
340,341,116224,0_16_0_1_23_0_0_0_0_0_0,0_16_0,Uganda,UG182,2018.0,N,N
341,342,116225,0_0_36_4_6_0_0_0_0_0_0,0_0_36,Uganda,UG197,2018.0,N,N
342,343,116226,0_0_33_130_0_0_0_0_0_0_0,0_0_33,Uganda,UG245,2018.0,N,N
343,344,116227,0_0_33_49_3_0_0_0_0_0_0,0_0_33,Uganda,UG278,2018.0,N,N
344,345,116228,16_1_0_2_4_0_0_0_0_0_0,16_1_0,Uganda,UG282,2018.0,N,N
345,346,116229,0_9_0_12_0_0_0_0_0_0_0,0_9_0,Uganda,UG290,2018.0,N,N
346,347,116230,0_9_0_12_0_1_0_0_0_0_0,0_9_0,Uganda,UG323,2018.0,N,N
347,348,116231,0_0_36_4_8_0_0_0_0_0_0,0_0_36,Uganda,UG055,2018.0,N,N
348,349,116232,1_1_34_5_0_0_0_0_0_0_0,1_1_34,Uganda,UG224,2018.0,N,N
349,350,116233,0_0_33_123_0_0_0_0_0_0_0,0_0_33,Uganda,UG009,2018.0,N,N
350,351,116234,0_0_33_128_0_0_0_0_0_0_0,0_0_33,Uganda,UG052,2018.0,N,N
351,352,116235,0_16_0_1_29_0_0_0_0_0_0,0_16_0,Uganda,UG296,2018.0,N,N
352,353,116236,0_0_33_116_0_0_0_0_0_0_0,0_0_33,Uganda,UG440,2018.0,N,N
353,354,116237,0_9_0_5_9_0_0_0_0_0_0,0_9_0,Uganda,UG221,2018.0,N,N
354,355,116238,1_1_56_0_0_0_0_0_0_0_0,1_1_56,Uganda,UG040,2018.0,N,N
355,356,116239,0_0_36_8_0_0_0_0_0_0_0,0_0_36,Uganda,UG474,2018.0,N,N
356,357,116240,0_16_8_0_0_0_0_0_0_0_0,0_16_8,Uganda,UG501,2018.0,N,N
357,358,116241,0_0_36_4_12_0_0_0_0_0_0,0_0_36,Uganda,UG162,2018.0,N,N
358,359,116242,0_16_9_0_0_0_0_0_0_0_0,0_16_9,Uganda,UG007,2018.0,N,N
359,360,116243,0_2_21_0_13_0_0_0_0_0_0,0_2_21,Uganda,UG393,2018.0,N,N
360,361,116244,0_16_9_4_0_0_0_0_0_0_0,0_16_9,Uganda,UG411,2018.0,N,N
361,362,116245,1_1_34_12_0_0_0_0_0_0_0,1_1_34,Uganda,UG084,2018.0,N,N
362,363,116246,1_1_56_0_1_0_0_0_0_0_0,1_1_56,Uganda,UG413,2018.0,N,N
363,364,116247,0_9_0_7_0_0_0_0_0_0_0,0_9_0,Uganda,UG343,2018.0,N,N
364,365,116248,0_16_0_10_0_0_0_0_0_0_0,0_16_0,Uganda,UG435,2018.0,N,N
365,366,116249,0_2_55_3_0_0_0_0_0_0_0,0_2_55,Uganda,UG503,2018.0,N,N
366,367,116250,0_16_4_1_0_0_0_0_0_0_0,0_16_4,Uganda,UG198,2018.0,N,N
367,368,116251,1_0_0_3_0_0_0_0_0_0_0,1_0_0,Uganda,UG167,2018.0,N,N
368,369,116252,0_16_9_3_0_0_0_0_0_0_0,0_16_9,Uganda,UG189,2018.0,N,N
369,370,116253,0_16_9_2_0_0_0_0_0_0_0,0_16_9,Uganda,UG075,2018.0,N,N
370,371,117540,0_0_33_12_5_4_0_0_0_0_0,0_0_33,Cameroon,NG31052019,2019.0,N,N
371,372,117541,0_16_0_11_0_0_0_0_0_0_0,0_16_0,Cameroon,NG27082019A,2019.0,N,N
372,373,117542,0_16_0_11_0_0_0_0_0_1_0,0_16_0,Cameroon,NG27082019B,2019.0,N,N
373,374,117543,1_1_2_14_4_0_0_0_0_0_0,1_1_2,Cameroon,NG20042303A,2020.0,N,N
374,375,117544,1_1_2_14_4_0_0_0_0_0_0,1_1_2,Cameroon,NG20042303B,2020.0,N,N
375,376,117545,1_1_17_14_0_0_0_0_0_0_0,1_1_17,Cameroon,NG13112001,2020.0,N,N
376,377,117546,0_16_0_2_8_0_0_0_0_0_0,0_16_0,Cameroon,NG14112002,2020.0,N,N
377,378,117547,0_0_33_83_0_0_0_0_0_0_0,0_0_33,Cameroon,NG14112003,2020.0,N,N
378,379,118224,1_1_2_14_4_0_0_0_0_0_0,1_1_2,Cameroon,NG20042303AMaxwell,2020.0,N,N
379,380,118225,0_0_33_83_0_0_0_0_0_0_0,0_0_33,Cameroon,NG14112003Maxwell,2020.0,N,N
380,381,123150,51_0_0_1_0_0_0_0_0_0_0,51_0_0,Zambia,FF05_01-134,2020.0,N,N
381,382,123151,51_0_0_0_0_0_0_0_0_0_0,51_0_0,Zambia,FF05_02-104,2020.0,N,N
382,383,123152,,,Zambia,FF05_02-210,2020.0,N,N
383,384,125903,1_2_1_3_0_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG10,2020.0,N,N
384,385,125904,1_2_1_0_0_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG11,2015.0,N,N
385,386,125905,0_0_74_0_0_0_0_0_0_0_0,0_0_74,Madagascar,MDG-NG12,2019.0,N,N
386,387,125906,1_1_58_0_0_0_0_0_0_0_0,1_1_58,Madagascar,MDG-NG13,2020.0,N,N
387,388,125907,0_2_9_14_64_0_0_0_0_0_0,0_2_9,Madagascar,MDG-NG14,2020.0,N,N
388,389,125908,0_24_0_0_1_0_0_0_0_0_0,0_24_0,Madagascar,MDG-NG15,2020.0,N,N
389,390,125909,1_1_59_0_0_0_0_0_0_0_0,1_1_59,Madagascar,MDG-NG16,2016.0,N,N
390,391,125910,1_2_1_1_0_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG17,2020.0,N,N
391,392,125911,0_2_9_14_63_0_0_0_0_0_0,0_2_9,Madagascar,MDG-NG18,2020.0,N,N
392,393,125912,1_1_57_0_0_0_0_0_0_0_0,1_1_57,Madagascar,MDG-NG19,2014.0,N,N
393,394,125913,1_2_1_1_2_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG1,2020.0,N,N
394,395,125914,0_0_47_6_22_0_0_0_0_0_0,0_0_47,Madagascar,MDG-NG20,2020.0,N,N
395,396,125915,1_1_60_0_0_0_0_0_0_0_0,1_1_60,Madagascar,MDG-NG21,2014.0,N,N
396,397,125916,1_2_1_2_0_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG22,2020.0,N,N
397,398,125917,1_2_2_0_0_0_0_0_0_0_0,1_2_2,Madagascar,MDG-NG23,2014.0,N,N
398,399,125918,1_2_1_4_0_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG24,2020.0,N,N
399,400,125919,0_0_80_0_1_0_0_0_0_0_0,0_0_80,Madagascar,MDG-NG25,2020.0,N,N
400,401,125920,1_1_61_0_0_0_0_0_0_0_0,1_1_61,Madagascar,MDG-NG26,2020.0,N,N
401,402,125921,0_24_0_0_0_0_0_0_0_0_0,0_24_0,Madagascar,MDG-NG27,2020.0,N,N
402,403,125922,0_2_39_1_0_0_0_0_0_0_0,0_2_39,Madagascar,MDG-NG28,2017.0,N,N
403,404,125923,0_0_82_0_0_0_0_0_0_0_0,0_0_82,Madagascar,MDG-NG29,2019.0,N,N
404,405,125924,0_0_81_0_0_0_0_0_0_0_0,0_0_81,Madagascar,MDG-NG2,2020.0,N,N
405,406,125925,1_2_1_1_1_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG30,2020.0,N,N
406,407,125926,0_2_9_14_66_0_0_0_0_0_0,0_2_9,Madagascar,MDG-NG31,2020.0,N,N
407,408,125927,0_24_0_1_2_0_0_0_0_0_0,0_24_0,Madagascar,MDG-NG32,2020.0,N,N
408,409,125928,,,Madagascar,MDG-NG33,2020.0,N,N
409,410,125929,0_0_82_1_0_0_0_0_0_0_0,0_0_82,Madagascar,MDG-NG34,2020.0,N,N
410,411,125930,0_0_77_0_0_0_0_0_0_0_0,0_0_77,Madagascar,MDG-NG35,2020.0,N,N
411,412,125931,,,Madagascar,MDG-NG36,2020.0,N,N
412,413,125932,1_2_1_2_0_0_0_0_0_0_0,1_2_1,Madagascar,MDG-NG37,2020.0,N,N
413,414,125933,,,Madagascar,MDG-NG38,2017.0,N,N
414,415,125934,,,Madagascar,MDG-NG39,2020.0,N,N
415,416,125935,0_24_0_1_0_0_0_0_0_0_0,0_24_0,Madagascar,MDG-NG3,2019.0,N,N
416,417,125936,,,Madagascar,MDG-NG40,2020.0,N,N
417,418,125937,,,Madagascar,MDG-NG41,2020.0,N,N
418,419,125938,0_24_0_1_2_0_0_0_0_0_0,0_24_0,Madagascar,MDG-NG42,2020.0,N,N
419,420,125939,,,Madagascar,MDG-NG43,2019.0,N,N
420,421,125940,,,Madagascar,MDG-NG44,2020.0,N,N
421,422,125941,,,Madagascar,MDG-NG45,2020.0,N,N
422,423,125942,,,Madagascar,MDG-NG46,2020.0,N,N
423,424,125943,,,Madagascar,MDG-NG47,2016.0,N,N
424,425,125945,1_1_57_1_0_0_0_0_0_0_0,1_1_57,Madagascar,MDG-NG4,2020.0,N,N
425,426,125947,0_2_9_14_65_0_0_0_0_0_0,0_2_9,Madagascar,MDG-NG5,2020.0,N,N
426,427,125948,0_2_77_0_0_0_0_0_0_0_0,0_2_77,Madagascar,MDG-NG6,2020.0,N,N
427,428,125950,0_24_0_1_1_0_0_0_0_0_0,0_24_0,Madagascar,MDG-NG8,2016.0,N,N
428,429,125951,1_2_2_1_0_0_0_0_0_0_0,1_2_2,Madagascar,MDG-NG9,2020.0,N,N
429,430,131095,0_12_10_0_0_0_0_0_0_0_0,0_12_10,South Africa,GP-12-MUS-048,2012.0,Y,my_SA
430,431,131096,0_0_23_5_0_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-049,2012.0,Y,my_SA
431,432,131097,0_0_23_2_4_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-052,2012.0,Y,my_SA
432,433,131098,1_1_27_2_1_0_0_0_0_0_0,1_1_27,South Africa,GP-12-MUS-069,2012.0,Y,my_SA
433,434,131099,0_0_33_12_92_1_0_0_0_1_0,0_0_33,South Africa,GP-12-MUS-071,2012.0,Y,my_SA
434,435,131100,1_1_17_9_0_0_0_0_0_0_0,1_1_17,South Africa,GP-12-MUS-086,2012.0,Y,my_SA
435,436,131101,0_0_33_12_164_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-088,2012.0,Y,my_SA
436,437,131102,0_0_23_6_0_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-092,2012.0,Y,my_SA
437,438,131103,1_1_17_4_7_0_0_0_0_0_0,1_1_17,South Africa,GP-12-MUS-093,2012.0,Y,my_SA
438,439,131104,0_0_65_0_0_0_0_0_0_0_0,0_0_65,South Africa,GP-12-MUS-096,2012.0,Y,my_SA
439,440,131105,1_1_27_6_2_0_0_0_0_0_0,1_1_27,South Africa,GP-12-MUS-099,2012.0,Y,my_SA
440,441,131106,1_1_27_6_8_0_0_0_0_0_0,1_1_27,South Africa,GP-12-MUS-102,2012.0,Y,my_SA
441,442,131107,1_3_0_1_0_0_0_0_0_0_0,1_3_0,South Africa,GP-12-MUS-107,2012.0,Y,my_SA
442,443,131108,0_0_23_24_0_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-109,2012.0,Y,my_SA
443,444,131109,0_0_33_12_164_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-110,2012.0,Y,my_SA
444,445,131110,0_0_23_16_0_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-115,2012.0,Y,my_SA
445,446,131111,1_1_50_0_0_0_0_0_0_0_0,1_1_50,South Africa,GP-12-MUS-116,2012.0,Y,my_SA
446,447,131112,0_23_0_0_2_0_0_0_0_0_0,0_23_0,South Africa,GP-12-MUS-117,2012.0,Y,my_SA
447,448,131113,0_0_33_12_92_1_1_0_0_0_0,0_0_33,South Africa,GP-12-MUS-124,2012.0,Y,my_SA
448,449,131114,1_1_17_4_10_0_0_0_0_0_0,1_1_17,South Africa,GP-12-MUS-137,2012.0,Y,my_SA
449,450,131115,0_0_33_12_92_3_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-163,2012.0,Y,my_SA
450,451,131116,0_2_21_0_2_0_0_0_0_0_0,0_2_21,South Africa,GP-12-MUS-166,2012.0,Y,my_SA
451,452,131117,0_23_0_0_0_0_0_0_0_0_0,0_23_0,South Africa,GP-12-MUS-170,2012.0,Y,my_SA
452,453,131118,1_1_17_4_5_0_0_0_0_0_0,1_1_17,South Africa,GP-12-MUS-180,2012.0,Y,my_SA
453,454,131119,0_16_0_1_6_2_0_0_0_0_0,0_16_0,South Africa,GP-12-MUS-190,2012.0,Y,my_SA
454,455,131120,0_0_23_2_3_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-199,2012.0,Y,my_SA
455,456,131121,0_0_33_12_92_1_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-205,2012.0,Y,my_SA
456,457,131122,0_0_33_12_192_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-208,2012.0,Y,my_SA
457,458,131123,1_3_1_0_0_0_0_0_0_0_0,1_3_1,South Africa,GP-12-MUS-211,2012.0,Y,my_SA
458,459,131124,0_0_23_3_1_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-214,2012.0,Y,my_SA
459,460,131125,0_16_0_1_6_3_0_0_0_0_0,0_16_0,South Africa,GP-12-MUS-220,2012.0,Y,my_SA
460,461,131126,,,South Africa,GP-12-MUS-242,2012.0,Y,my_SA
461,462,131127,1_1_17_4_14_0_0_0_0_0_0,1_1_17,South Africa,GP-12-MUS-250,2012.0,Y,my_SA
462,463,131128,0_0_33_12_159_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-251,2012.0,Y,my_SA
463,464,131129,0_2_73_0_0_0_0_0_0_0_0,0_2_73,South Africa,GP-12-MUS-252,2012.0,Y,my_SA
464,465,131130,0_0_47_6_9_0_0_0_0_0_0,0_0_47,South Africa,GP-12-MUS-264,2012.0,Y,my_SA
465,466,131131,0_0_33_12_268_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-273,2012.0,Y,my_SA
466,467,131132,0_0_33_12_92_1_0_0_0_2_0,0_0_33,South Africa,GP-12-MUS-276,2012.0,Y,my_SA
467,468,131133,0_0_47_6_21_0_0_0_0_0_0,0_0_47,South Africa,GP-12-MUS-283,2012.0,Y,my_SA
468,469,131134,0_0_33_98_0_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-289,2012.0,Y,my_SA
469,470,131135,0_2_21_0_7_0_0_0_0_0_0,0_2_21,South Africa,GP-12-MUS-291,2012.0,Y,my_SA
470,471,131136,0_0_36_1_2_0_0_0_0_0_0,0_0_36,South Africa,GP-12-MUS-297,2012.0,Y,my_SA
471,472,131137,0_0_36_1_5_0_0_0_0_0_0,0_0_36,South Africa,GP-12-MUS-303,2012.0,Y,my_SA
472,473,131138,0_0_33_12_179_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-307,2012.0,Y,my_SA
473,474,131139,0_12_10_2_0_0_0_0_0_0_0,0_12_10,South Africa,GP-12-MUS-311,2012.0,Y,my_SA
474,475,131140,0_0_33_12_149_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-312,2012.0,Y,my_SA
475,476,131141,0_0_47_6_11_0_0_0_0_0_0,0_0_47,South Africa,GP-12-MUS-317,2012.0,Y,my_SA
476,477,131142,0_0_23_2_1_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-319,2012.0,Y,my_SA
477,478,131143,0_2_21_0_9_0_0_0_0_0_0,0_2_21,South Africa,GP-12-MUS-324,2012.0,Y,my_SA
478,479,131144,1_1_17_11_0_0_0_0_0_0_0,1_1_17,South Africa,GP-12-MUS-325,2012.0,Y,my_SA
479,480,131145,0_0_33_12_92_1_0_0_2_0_0,0_0_33,South Africa,GP-12-MUS-331,2012.0,Y,my_SA
480,481,131146,0_0_23_2_9_0_0_0_0_0_0,0_0_23,South Africa,GP-12-MUS-333,2012.0,Y,my_SA
481,482,131147,0_0_33_12_92_1_0_0_0_4_0,0_0_33,South Africa,GP-12-MUS-337,2012.0,Y,my_SA
482,483,131148,0_0_33_12_150_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-339,2012.0,Y,my_SA
483,484,131149,0_0_47_6_3_0_0_0_0_0_0,0_0_47,South Africa,GP-12-MUS-356,2012.0,Y,my_SA
484,485,131150,0_0_47_6_5_0_0_0_0_0_0,0_0_47,South Africa,GP-12-MUS-358,2012.0,Y,my_SA
485,486,131151,0_2_21_0_10_0_0_0_0_0_0,0_2_21,South Africa,GP-12-MUS-361,2012.0,Y,my_SA
486,487,131152,0_18_23_1_0_0_0_0_0_0_0,0_18_23,South Africa,GP-12-MUS-363,2012.0,Y,my_SA
487,488,131153,0_0_33_12_170_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-368,2012.0,Y,my_SA
488,489,131154,0_0_33_12_147_0_0_0_0_0_0,0_0_33,South Africa,GP-12-MUS-371,2012.0,Y,my_SA
489,490,131155,0_23_0_0_1_0_0_0_0_0_0,0_23_0,South Africa,GP-13-MUS-001,2013.0,Y,my_SA
490,491,131156,0_16_0_1_6_5_0_0_0_0_0,0_16_0,South Africa,GP-13-MUS-015,2013.0,Y,my_SA
491,492,131157,0_0_33_12_196_0_0_0_0_0_0,0_0_33,South Africa,GP-13-MUS-032,2013.0,Y,my_SA
492,493,131158,0_0_33_12_171_0_0_0_0_0_0,0_0_33,South Africa,GP-13-MUS-044,2013.0,Y,my_SA
493,494,131159,0_0_47_6_7_0_0_0_0_0_0,0_0_47,South Africa,GP-13-MUS-047,2013.0,Y,my_SA
494,495,131160,0_16_0_1_6_1_0_0_0_0_0,0_16_0,South Africa,GP-13-MUS-051,2013.0,Y,my_SA
495,496,131161,0_16_0_1_20_0_0_0_0_0_0,0_16_0,South Africa,GP-13-MUS-052,2013.0,Y,my_SA
496,497,131162,0_0_33_12_92_1_0_0_1_0_0,0_0_33,South Africa,GP-13-MUS-053,2013.0,Y,my_SA
497,498,131163,0_0_47_6_8_0_0_0_0_0_0,0_0_47,South Africa,GP-13-MUS-067,2013.0,Y,my_SA
498,499,131164,0_0_36_1_1_0_0_0_0_0_0,0_0_36,South Africa,GP-13-MUS-068,2013.0,Y,my_SA
499,500,131165,0_0_33_12_167_0_0_0_0_0_0,0_0_33,South Africa,GP-13-MUS-070,2013.0,Y,my_SA
500,501,131166,1_1_51_0_0_0_0_0_0_0_0,1_1_51,South Africa,GP-13-MUS-073,2013.0,Y,my_SA
501,502,131167,0_0_23_2_12_0_0_0_0_0_0,0_0_23,South Africa,GP-13-MUS-076,2013.0,Y,my_SA
502,503,131168,0_0_33_12_145_0_0_0_0_0_0,0_0_33,South Africa,GP-13-MUS-077,2013.0,Y,my_SA
503,504,131169,1_1_17_4_16_0_0_0_0_0_0,1_1_17,South Africa,GP-13-MUS-080,2013.0,Y,my_SA
504,505,131170,1_1_49_0_0_0_0_0_0_0_0,1_1_49,South Africa,GP-13-MUS-081,2013.0,Y,my_SA
505,506,131172,0_0_33_12_152_0_0_0_0_0_0,0_0_33,South Africa,GP13-MUS-085,2013.0,Y,my_SA
506,507,131173,0_0_36_1_3_1_0_0_0_0_0,0_0_36,South Africa,GP13-MUS-086,2013.0,Y,my_SA
507,508,131174,0_0_33_12_151_0_0_0_0_0_0,0_0_33,South Africa,GP13-MUS-088,2013.0,Y,my_SA
508,509,131175,0_0_23_5_1_0_0_0_0_0_0,0_0_23,South Africa,GP-13-MUS-096,2013.0,Y,my_SA
509,510,131176,0_0_33_12_216_0_0_0_0_0_0,0_0_33,South Africa,GP-13-MUS-099,2013.0,Y,my_SA
510,511,131177,1_1_17_13_1_0_0_0_0_0_0,1_1_17,South Africa,GP-13-MUS-103,2013.0,Y,my_SA
