,id,isolate,cgst,lincode,LIN1,LIN2,LIN3,LIN4
529,155602,20MUS-AH052,34480,11_0_5_0_1_0_0_0_0_0_0,11.0,11_0,11_0_5,11_0_5_0
538,155611,20MUS-AH074,34487,0_2_71_0_0_0_0_1_0_0_0,0.0,0_2,0_2_71,0_2_71_0
546,155619,20MUS-AH096,34493,0_2_71_0_0_0_1_0_0_0_0,0.0,0_2,0_2_71,0_2_71_0
563,155636,20MUS-AH129,34501,0_2_1_0_574_1_0_0_0_0_0,0.0,0_2,0_2_1,0_2_1_0
585,155658,21MUS-AH027,34516,0_2_71_0_0_0_0_1_1_0_0,0.0,0_2,0_2_71,0_2_71_0
586,155659,21MUS-AH028,34517,0_0_26_3_193_0_0_0_0_0_0,0.0,0_0,0_0_26,0_0_26_3
592,155666,21MUS-AH053,34523,0_2_71_0_0_0_0_1_0_0_0,0.0,0_2,0_2_71,0_2_71_0
598,155672,21MUS-AH071,34527,0_0_63_0_2_0_1_0_0_0_0,0.0,0_0,0_0_63,0_0_63_0
599,155673,21MUS-AH072,34527,0_0_63_0_2_0_1_0_0_0_0,0.0,0_0,0_0_63,0_0_63_0
620,155694,21MUS-AH122,34541,0_0_63_0_3_0_0_0_0_0_0,0.0,0_0,0_0_63,0_0_63_0
635,155712,21MUS-AH151,34552,0_2_71_0_0_0_1_0_0_1_0,0.0,0_2,0_2_71,0_2_71_0
647,155733,21MUS-AH195,34560,0_2_71_0_0_3_0_0_0_0_0,0.0,0_2,0_2_71,0_2_71_0
685,155781,15MUS-PI091-WGS,34592,1_1_52_0_1_0_0_0_0_0_0,1.0,1_1,1_1_52,1_1_52_0
699,155797,18MUS-KM009,34604,0_0_63_0_2_1_0_0_1_0_0,0.0,0_0,0_0_63,0_0_63_0
700,155798,18MUS-KM012,21969;34605,0_18_28_0_0_0_0_0_0_0_0,0.0,0_18,0_18_28,0_18_28_0
